rh	gen	rept	N	P	K	Ca	Mg	S	Fe	Zn	Cu	Mn	B	A	gs	Ci	E	VpdL	CiCa	Ags	Ae	Aci
irr	ESFIP02 	3	25.97	2.79	13.75	15.02	4.75	2.62	144	46	5	719	50	6.15553	0.04732	175.12816	1.18886	2.50471	0.428985466	130.61496	4.138905778	0.023072088
nir	ESFIP02 	3	25.2	2.42	16.88	11.48	4.75	2.79	65	40	4	403	29	3.53773	0.03072	171	0.92164	2.96377	0.525098089	115.1585513	3.838482661	0.020668542
irr	ESFIP04 	1	28.98	2.79	11.25	17.37	5.44	2.62	132	34	4	959	35	4.76273	0.04767	220.09688	1.25749	2.62545	0.556591203	99.91579714	3.787497367	0.021639251
nir	ESFIP04 	1	26.32	2.17	14.38	15.47	6.13	2.96	54	57	5	601	33	2.50142	0.02756	239.85363	0.88507	3.18243	0.572172287	97.27439507	3.842487896	0.020429629
irr	ESFIP04 	2	30.94	2.36	11.88	10.73	4.25	2.79	145	43	5	1298	49	4.63637	0.04766	226.94324	1.20661	2.52123	0.601109803	86.96548456	3.494690376	0.024120795
nir	ESFIP04 	2	27.16	1.95	15	9.43	5.69	2.96	103	54	6	443	42	3.16545	0.0398	254.42287	1.28455	3.20181	0.598805832	90.74673874	2.826239733	0.010428923
irr	ESFIP04 	3	25.48	2.63	13.13	12.88	3.63	2.79	110	51	5	965	52	5.72395	0.06582	237.30361	1.6379	2.48295	0.635754496	79.54223208	2.464255541	0.012441686
nir	ESFIP04 	3	26.32	2.23	13.75	17.52	6.56	3.2	82	56	6	567	31	1.75715	0.04074	308.77754	1.18689	2.87592	0.777258052	43.13463127	1.480458791	0.005690656
irr	PH16 	1	26.39	2.63	18.75	10.43	3.94	2.79	96	57	6	669	47	7.09055	0.12087	287.88332	2.69007	2.23628	0.728461345	58.66386494	2.635828234	0.024629942
nir	PH16 	1	26.18	2.06	16.88	12.63	5.44	2.73	67	45	6	721	37	2.38082	0.05441	310.76194	1.71537	3.12991	0.711123445	60.9179055	2.613036875	0.014546569
irr	PH16 	2	29.89	2.42	15.63	12.93	5	2.96	168	42	5	855	45	4.10973	0.06746	282.52234	1.57278	2.42031	0.672441383	69.07937907	2.890325715	0.013131265
nir	PH16 	2	28.49	1.2	15.63	8.44	3.65	2.96	116	45	6	485	45	2.35572	0.04105	288.09132	1.13847	2.7412	0.774134264	43.76036745	1.387931062	0.007661222
irr	PH16 	3	25.55	2.06	13.13	11.28	4.69	2.62	133	61	6	811	52	3.51927	0.05095	268.00692	1.2176	2.38794	0.72292177	57.38069327	2.069203502	0.008176977
nir	PH16 	3	27.02	1.95	16.88	15.82	5.38	3.44	73	52	6	495	31	2.35572	0.04105	288.09132	1.13847	2.7412	0.72292177	57.38069327	2.069203502	0.008176977
irr	PS1319 	1	28.35	2.63	13.13	12.63	3.31	1.98	122	35	6	1418	40	4.86829	0.08542	291.59876	1.81716	2.13322	0.734748857	56.98912179	2.679071406	0.016695179
nir	PS1319 	1	24.99	2.71	13.13	16.57	5	2.4	99	53	4	1438	57	3.61408	0.02964	190.7803	0.88259	2.95432	0.679664802	71.24232834	3.260847444	0.013121267
irr	PS1319 	2	24.01	2.63	14.38	11.13	3.31	2.3	130	43	5	613	33	3.53016	0.04955	269.04092	1.08259	2.18074	0.690116594	66.4613389	3.044028657	0.016621937
nir	PS1319 	2	30.31	2.36	18.75	9.53	4.94	2.96	83	50	3	383	35	3.77402	0.02319	133.96985	0.71167	3.04189	0.478899098	121.9158162	4.094862944	0.018943694
irr	PS1319 	3	27.23	2.79	17.5	6.89	3.75	2.79	92	41	4	631	38	4.56884	0.06874	274.86822	1.50092	2.18635	0.334471312	162.7290354	5.303063817	0.028170667
nir	PS1319 	3	25.41	2.87	18.13	15.12	4	2.3	81	39	4	615	59	2.05149	0.03209	279.54024	0.84949	2.61488	0.700440344	63.92851841	2.414956216	0.007338793
irr	SJ02 	1	26.39	2.36	15	16.27	5.25	2.73	116	36	4	905	44	3.72017	0.11597	332.07986	2.57439	2.2178	0.836592584	32.07806298	1.445067024	0.011202634
nir	SJ02 	1	26.18	2.49	17.5	12.43	4.75	2.62	59	37	3	415	35	2.23686	0.02119	202.33103	0.71519	3.33771	0.726758484	54.82186701	2.437713501	0.019053807
irr	SJ02 	2	24.64	3.04	12.5	9.73	4.88	2.73	157	46	4	705	40	5.48311	0.10002	287.7697	2.24928	2.24683	0.925543834	45.56756864	2.026211133	0.01240163
nir	SJ02 	2	23.87	2.23	17.5	11.33	4.63	2.19	92	34	2	344	38	3.10301	0.0281	202.22577	0.94903	3.3402	0.59425954	105.5842394	3.12695616	0.011055645
irr	SJ02 	3	24.99	2.36	14.38	7.84	4	2.62	110	37	3	405	52	4.55752	0.10002	367.49385	2.24928	2.27522	0.511404624	110.4393629	3.269666205	0.015344266
nir	SJ02 	3	27.3	2.63	16.88	18.22	3.7	3.08	89	36	4	202	27	2.23686	0.02395	235.48164	0.80881	3.33771	0.59425954	93.38716645	2.765606765	0.009499083
irr	TSH1188 	1	28.14	2.36	15.63	13.88	2.95	1.98	139	32	5	671	31	5.55319	0.06822	66.90384	1.53382	2.61918	0.169643684	81.40157277	3.620501864	0.083002546
nir	TSH1188 	1	27.73	2.23	15.63	12.23	5.39	2.19	51	47	4	541	35	3.70408	0.03928	225.94654	1.20595	3.04701	0.850955206	27.02367221	1.17578242	0.010487427
irr	TSH1188 	2	26.25	1.79	8.75	5.94	2.94	1.98	162	32	3	639	52	3.52634	0.13049	336.24486	2.99915	2.30263	0.732990402	57.52355544	2.439577606	0.013463941
nir	TSH1188 	2	27.3	1.75	13.75	11.38	5.06	3.56	134	46	4	531	38	3.46476	0.05299	276.82613	1.65555	3.10248	0.569716137	94.3088885	3.071508594	0.016393628
irr	TSH1188 	3	25.13	2.71	12.5	11.53	5	2.3	164	48	5	623	52	3.90714	0.06792	290.19258	1.60156	2.34032	0.692871221	65.37964094	2.092815667	0.012516028
nir	TSH1188 	3	27.86	2.29	18.13	10.28	4.31	2.73	74	41	5	598	27	2.8765	0.03014	219.396	0.90914	3.01051	0.651675126	95.42224709	3.163995841	0.013110537
